Year	LowFreq_Hz	HighFreq_Hz	PeakFreq_Hz	DeltaFreq_Hz	DeltaTime_s	PFC_Num_Inf_Pts
Lockdown	3902.9	15820.6	4500	11917.7	1.033	60
Pre-Lockdown	10709.6	15817.2	13500	5107.6	0.318	130
Pre-Lockdown	7811.1	15808.2	12750	7997.1	0.603	198
Pre-Lockdown	4252.4	15794.5	6835.9	11542.1	2.222	849
Lockdown	7016.6	15787.4	11625	8770.8	0.458	25
Lockdown	4693.3	15780.2	6937.5	11087	0.955	31
Lockdown	7030.3	15757.6	12375	8727.3	0.938	52
Lockdown	2700	15728.6	8062.5	13028.6	1.185	66
Pre-Lockdown	4631.6	15719.3	7500	11087.7	0.925	109
Pre-Lockdown	4100.5	15718.5	12207	11618.1	1.025	542
Lockdown	6618.1	15708.4	12093.8	9090.3	0.907	31
Lockdown	8443.7	15708.4	11062.5	7264.7	0.503	19
Lockdown	9242.5	15708.4	10968.8	6465.9	0.676	21
Lockdown	8557.8	15708.4	10031.2	7150.6	0.317	16
Lockdown	8938.2	15708.4	11531.2	6770.2	0.921	56
Pre-Lockdown	5785.1	15702.5	12304.7	9917.4	0.573	161
Lockdown	5914.3	15685.7	8250	9771.4	0.314	14
Pre-Lockdown	4988.7	15678.8	7125	10690.1	0.942	357
Pre-Lockdown	3243.6	15677.4	9277.3	12433.8	1.205	256
Pre-Lockdown	3243.6	15677.4	15625	12433.8	0.888	426
Lockdown	10291.4	15675.6	13781.2	5384.2	0.622	31
Pre-Lockdown	3215.4	15675.2	10742.2	12459.8	1.107	455
Pre-Lockdown	4408.2	15673.5	10125	11265.3	1.644	169
Pre-Lockdown	6647.6	15658.8	12011.7	9011.2	2.185	756
Pre-Lockdown	2271.2	15645.7	11906.2	13374.6	1.442	130
Lockdown	9763.3	15640.8	9843.8	5877.6	0.587	64
Lockdown	14389.1	15638	15375	1248.9	0.252	21
Pre-Lockdown	5124	15628.1	11230.5	10504.1	0.73	411
Pre-Lockdown	3605.8	15625	9277.3	12019.2	0.176	86
Pre-Lockdown	5992.4	15623.1	11718.8	9630.7	1.232	716
Pre-Lockdown	3362.6	15612.1	7812.5	12249.5	0.093	42
Pre-Lockdown	3443.7	15611.4	8789.1	12167.7	0.557	295
Pre-Lockdown	5969.1	15611.4	10742.2	9642.4	2.586	1386
Lockdown	7728.8	15579.7	8718.8	7850.8	0.309	14
Pre-Lockdown	3457.7	15559.8	13183.6	12102.1	0.257	127
Lockdown	5569.1	15558	10031.2	9989	0.821	41
Lockdown	3299	15546.4	8625	12247.4	1.744	43
Pre-Lockdown	4871.8	15543.4	12207	10671.6	0.805	460
Pre-Lockdown	5099.3	15540.8	14160.2	10441.5	1.854	867
Pre-Lockdown	6288.8	15537.1	12000	9248.3	1.097	425
Pre-Lockdown	3787.9	15530.3	10742.2	11742.4	1.504	826
Pre-Lockdown	2651.5	15530.3	12207	12878.8	0.378	184
Pre-Lockdown	4705.9	15529.4	10125	10823.5	2.664	831
Pre-Lockdown	4941.2	15529.4	10500	10588.2	1.844	580
Lockdown	11294.1	15529.4	12656.2	4235.3	0.218	9
Pre-Lockdown	5492.5	15522.4	11250	10029.9	0.698	126
Lockdown	3801.1	15513.8	7781.2	11712.7	0.899	41
Lockdown	8816.3	15510.2	12000	6693.9	0.146	0
Lockdown	6426.7	15464.3	6562.5	9037.6	0.768	60
Lockdown	8177.5	15442.2	11718.8	7264.7	0.9	32
Lockdown	6350.6	15428.6	7406.2	9077.9	1.33	88
Pre-Lockdown	4143.2	15421.9	12207	11278.7	0.423	162
Pre-Lockdown	3784.2	15407.1	10742.2	11622.9	1.559	809
Pre-Lockdown	5135.7	15407.1	7812.5	10271.4	0.917	410
Pre-Lockdown	8451.2	15403	10500	6951.8	0.277	99
Pre-Lockdown	4851.9	15399.4	13671.9	10547.5	0.281	124
Pre-Lockdown	6843	15396.7	7910.2	8553.7	0.633	189
Pre-Lockdown	3716	15395	4882.8	11679	0.997	557
Lockdown	5951.1	15386.6	8250	9435.6	0.427	25
Pre-Lockdown	5050.8	15381.9	9765.6	10331.1	0.966	554
Lockdown	6386.4	15376.3	10500	8989.8	0.611	44
Lockdown	4965.3	15372.1	5156.2	10406.8	0.805	82
Pre-Lockdown	6004.6	15371.9	7812.5	9367.3	0.971	429
Pre-Lockdown	3072	15360	11625	12288	0.705	296
Pre-Lockdown	6103.9	15352.1	9750	9248.3	0.527	191
Pre-Lockdown	2861.8	15349.6	7875	12487.8	0.593	203
Lockdown	7769.5	15335.6	9187.5	7566.1	0.591	36
Pre-Lockdown	3062.4	15311.8	14250	12249.4	1.727	431
Pre-Lockdown	2823.5	15294.1	10500	12470.6	3.43	950
Pre-Lockdown	3764.7	15294.1	10875	11529.4	2.352	716
Lockdown	4508.3	15292.8	9468.8	10784.5	1.119	57
Pre-Lockdown	3450.1	15292.2	4687.5	11842.1	2.36	416
Pre-Lockdown	4955.8	15292	9937.5	10336.3	1.059	181
Lockdown	9795.9	15281.6	11437.5	5485.7	0.141	2
Lockdown	8282.8	15272.7	9562.5	6989.9	0.846	46
Pre-Lockdown	5553.2	15271.3	7324.2	9718.1	1.686	421
Lockdown	6059.8	15269.1	15000	9209.3	0.898	43
Pre-Lockdown	3972.6	15263.1	11671.9	11290.5	0.323	41
Lockdown	7850.8	15254.2	10968.8	7403.4	0.514	58
Lockdown	9052.3	15252	11156.2	6199.7	0.656	16
Lockdown	6618.1	15252	11812.5	8633.9	0.503	37
Lockdown	9851	15252	11531.2	5401	0.594	38
Pre-Lockdown	609.7	15243	4921.9	14633.3	1.643	206
Pre-Lockdown	3463.4	15238.9	8250	11775.5	0.676	248
Pre-Lockdown	4231.7	15234.3	7687.5	11002.6	1.42	206
Pre-Lockdown	3356.5	15216.2	15136.7	11859.7	1.21	595
Lockdown	5063.1	15189.4	9562.5	10126.2	0.816	77
Pre-Lockdown	6539.5	15188.5	15136.7	8649	1.39	463
Lockdown	7458.3	15166.7	10125	7708.3	1.438	48
Pre-Lockdown	2868.9	15163.9	6835.9	12295.1	0.478	156
Pre-Lockdown	7899.4	15158.4	12695.3	7258.9	0.139	61
Pre-Lockdown	4097.9	15144.3	7875	11046.5	1.015	420
Pre-Lockdown	3513.9	15136.8	10742.2	11622.9	1.797	568
Lockdown	8032.7	15134	12281.2	7101.4	1.682	157
Pre-Lockdown	6370.3	15129.5	9277.3	8759.2	1.159	684
Pre-Lockdown	4003.6	15124.6	7812.5	11121	0.411	226
Pre-Lockdown	5862.5	15107.2	8300.8	9244.7	0.276	138
Pre-Lockdown	4206.8	15106.2	13500	10899.4	0.876	297
Lockdown	5557	15100.7	11812.5	9543.6	0.444	22
Lockdown	6916.7	15083.3	9937.5	8166.7	1.571	56
Pre-Lockdown	5875.5	15072	12695.3	9196.5	1.063	582
Lockdown	6219.3	15069.8	7312.5	8850.5	0.925	14
Lockdown	5956.8	15064.7	8812.5	9107.9	1.088	60
Pre-Lockdown	6413	15056.7	12695.3	8643.7	1.128	535
Pre-Lockdown	4182.4	15056.7	6835.9	10874.3	1.083	554
Pre-Lockdown	5645.2	15054	11671.9	9408.7	0.323	39
Lockdown	8363.3	15054	10031.2	6690.7	1.51	118
Lockdown	7791.7	15041.7	9468.8	7250	0.967	108
Pre-Lockdown	5487.5	15039.8	9000	9552.3	3.259	550
Pre-Lockdown	4364.9	15004.2	8300.8	10639.3	0.856	358
Pre-Lockdown	6285.7	15000	11812.5	8714.3	0.517	88
Lockdown	7666.7	15000	8906.2	7333.3	1.398	92
Lockdown	6857.1	14987.8	7875	8130.6	2.27	235
Pre-Lockdown	4072.7	14981.8	8812.5	10909.1	1.294	194
Pre-Lockdown	3561.3	14957.3	9765.6	11396	1.527	659
Lockdown	3867.1	14950.2	7218.8	11083.1	1.43	79
Lockdown	5501.7	14950.2	7968.8	9448.5	0.47	13
Lockdown	7798	14949.5	11718.8	7151.5	1.218	100
Lockdown	8975.9	14947	11250	5971.1	0.169	6
Lockdown	3410.1	14935.3	7781.2	11525.2	1.102	39
Pre-Lockdown	7467	14934.1	9375	7467	0.742	269
Pre-Lockdown	4295.1	14919.8	11718.8	10624.7	0.806	388
Pre-Lockdown	4812	14917.3	7875	10105.3	1.039	398
Pre-Lockdown	8738.4	14915.5	13183.6	6177.1	0.843	269
Lockdown	9088.8	14911.4	12750	5822.5	0.543	39
Pre-Lockdown	13966.9	14895	14250	928.2	1.061	39
Lockdown	5501.7	14870.4	8062.5	9368.8	0.424	23
Pre-Lockdown	4324.8	14866.5	14160.2	10541.7	1.864	742
Pre-Lockdown	7338.6	14860.7	12000	7522.1	1.19	459
Pre-Lockdown	3586.8	14859.5	13671.9	11272.7	0.252	123
Lockdown	7756.1	14853.7	11437.5	7097.6	0.346	16
Lockdown	4433.9	14847.5	10968.8	10413.6	1.744	153
Pre-Lockdown	4064.8	14836.5	8062.5	10771.7	0.805	149
Lockdown	6583.3	14833.3	12562.5	8250	1.409	39
Lockdown	10445.2	14830.6	10968.8	4385.4	0.451	19
Pre-Lockdown	8373.6	14828.3	11132.8	6454.7	1.182	352
Pre-Lockdown	3529.4	14823.5	9375	11294.1	3.913	1079
Lockdown	6461.5	14823.5	6937.5	8362	0.477	29
Pre-Lockdown	2646.4	14819.6	13183.6	12173.2	0.588	230
Lockdown	8517.6	14817	10125	6299.4	0.465	27
Lockdown	8555.1	14791.8	10875	6236.7	0.125	0
Lockdown	6099.7	14790.7	7875	8691	0.938	30
Lockdown	7090.9	14766.2	9375	7675.3	0.714	57
Lockdown	7340.2	14762.9	9562.5	7422.7	1.184	72
Pre-Lockdown	4026.1	14762.3	12695.3	10736.2	1.217	666
Lockdown	4965.3	14760	6750	9794.6	1.414	117
Lockdown	7454.8	14757.5	14718.8	7302.7	0.976	101
Lockdown	11125	14750	13406.2	3625	0.733	60
Pre-Lockdown	4794	14737.2	13183.6	9943.2	0.733	336
Pre-Lockdown	2532	14731.4	9277.3	12199.4	0.849	410
Pre-Lockdown	5313	14731.4	7324.2	9418.4	0.807	456
Pre-Lockdown	4270	14731.4	12207	10461.4	0.395	188
Pre-Lockdown	2166.4	14731.4	7812.5	12565	0.48	290
Pre-Lockdown	5754.4	14731.4	10253.9	8976.9	0.564	319
Pre-Lockdown	8746.8	14731.4	10253.9	5984.6	0.374	211
Pre-Lockdown	4386	14724.3	10742.2	10338.3	1.198	539
Pre-Lockdown	8604.8	14723.8	11625	6119	0.793	336
Lockdown	6497.2	14718.2	9937.5	8221	1.238	97
Lockdown	3535.9	14718.2	10406.2	11182.3	0.857	25
Pre-Lockdown	6459.3	14712.9	11132.8	8253.6	0.673	187
Lockdown	4585.7	14700	7593.8	10114.3	0.864	55
Lockdown	6476.9	14683.9	13031.2	8207	1.435	72
Lockdown	8359.6	14677.4	13875	6317.8	0.522	28
Pre-Lockdown	2846.7	14671.3	4687.5	11824.6	1.086	226
Lockdown	6139.5	14671.1	8062.5	8531.6	1.33	99
Lockdown	6099.7	14671.1	14625	8571.4	1.014	68
Lockdown	7041.7	14666.7	11531.2	7625	1.155	100
Lockdown	7750	14666.7	9000	6916.7	1.455	154
Pre-Lockdown	5233.5	14653.9	14355.5	9420.4	2.23	773
Lockdown	6663.3	14645.4	11343.8	7982.1	0.914	85
Lockdown	8874.8	14633.3	14437.5	5758.5	0.964	26
Lockdown	3667.8	14631.2	7968.8	10963.5	1.275	32
Pre-Lockdown	3552.3	14626.9	11718.8	11074.6	0.566	248
Lockdown	5493.5	14610.4	6656.2	9116.9	1.714	82
Lockdown	10019.4	14601.9	11250	4582.5	1.425	131
Pre-Lockdown	8193.3	14599	8203.1	6405.7	1.439	430
Pre-Lockdown	4777.7	14598.7	8300.8	9821	0.731	400
Pre-Lockdown	2973.3	14596.2	9765.6	11622.9	1.214	170
Pre-Lockdown	5091.2	14574.7	8812.5	9483.5	2.522	361
Pre-Lockdown	4776.1	14567.2	7875	9791	0.976	403
Pre-Lockdown	5756.9	14552.2	13476.6	8795.3	0.1	13
Lockdown	2573	14550.8	7593.8	11977.8	0.991	44
Pre-Lockdown	4218.2	14545.5	9750	10327.3	0.914	143
Lockdown	6463.1	14541.9	10312.5	8078.8	1.172	35
Lockdown	7791.7	14541.7	9375	6750	1.268	127
Pre-Lockdown	12640.9	14541.4	13875	1900.6	0.918	32
Pre-Lockdown	5984.6	14534	6750	8549.4	0.829	299
Pre-Lockdown	4398	14532.5	12000	10134.5	0.8	249
Lockdown	7454.8	14529.3	11531.2	7074.5	1.366	63
Pre-Lockdown	3446.9	14526.2	7324.2	11079.3	1.571	490
Lockdown	9821.3	14515.2	14250	4694	0.821	76
Lockdown	2152.8	14511.6	2156.2	12358.8	1.919	133
Pre-Lockdown	4910.5	14508.2	5371.1	9597.7	1.503	721
Lockdown	8000	14500	11156.2	6500	1.136	113
Pre-Lockdown	6134.2	14499	6347.7	8364.8	0.928	255
Lockdown	8699	14485.4	11343.8	5786.4	0.813	44
Lockdown	8469.9	14484.8	11812.5	6014.9	1.086	111
Pre-Lockdown	10017.4	14469.6	10125	4452.2	0.186	65
Pre-Lockdown	10245	14463.5	13183.6	4218.5	0.261	57
Pre-Lockdown	13348.1	14453	13781.2	1105	0.756	26
Pre-Lockdown	10651.9	14453	11953.1	3801.1	0.774	25
Lockdown	3642.9	14400	9000	10757.1	0.768	46
Pre-Lockdown	4255.3	14387	7875	10131.7	1.059	269
Lockdown	6317.9	14384.1	6843.8	8066.2	0.928	103
Lockdown	5858.6	14383.8	5906.2	8525.3	0.758	66
Lockdown	8125	14375	10406.2	6250	1.088	97
Lockdown	5697.8	14374.1	10406.2	8676.3	1.169	55
Pre-Lockdown	5176.5	14352.9	9000	9176.5	1.917	539
Lockdown	11767.2	14351.9	13968.8	2584.7	0.421	35
Lockdown	5664.3	14349.7	9000	8685.3	0.838	19
Lockdown	9242.5	14339.1	10031.2	5096.7	0.422	21
Lockdown	4714.3	14337.7	11437.5	9623.4	1	28
Lockdown	5298.7	14337.7	11812.5	9039	1.476	53
Lockdown	5805.2	14337.7	7593.8	8532.5	1.51	52
Lockdown	8391.8	14334.7	11156.2	5942.9	0.725	52
Lockdown	6416.7	14333.3	9187.5	7916.7	1.628	93
Pre-Lockdown	10882.6	14333.2	13671.9	3450.6	1.145	475
Pre-Lockdown	3185.2	14333.2	6835.9	11148	1.204	542
Lockdown	7208.6	14330.9	11062.5	7122.3	0.82	60
Pre-Lockdown	5614	14315.8	8250	8701.8	0.742	101
Pre-Lockdown	9200.9	14312.5	11062.5	5111.6	0.756	134
Lockdown	2352.2	14312.3	2437.5	11960.1	3.04	206
Pre-Lockdown	4943.1	14308.9	8250	9365.9	1.014	199
Lockdown	5035	14307.7	9843.8	9272.7	0.771	65
Pre-Lockdown	6803.6	14305	11132.8	7501.4	1.066	344
Pre-Lockdown	8000	14303	10125	6303	1.566	477
Pre-Lockdown	8269.9	14300.1	9375	6030.1	0.949	295
Pre-Lockdown	4177.6	14291.6	6835.9	10114	1.268	694
Lockdown	3061	14284.7	11437.5	11223.7	1.677	140
Pre-Lockdown	6378.5	14275.8	12207	7897.2	2.07	637
Lockdown	10403.9	14266	12187.5	3862.1	0.653	36
Pre-Lockdown	8145.9	14255.3	10875	6109.4	0.897	297
Pre-Lockdown	10424.2	14254.5	14015.6	3830.3	0.087	0
Lockdown	9087.4	14252.4	10875	5165	0.832	51
Pre-Lockdown	1846.9	14247.7	10742.2	12400.8	2.146	998
Pre-Lockdown	4239.7	14233.4	13875	9993.7	0.776	354
Lockdown	5302.3	14232.6	11156.2	8930.2	1.596	92
Pre-Lockdown	12508.3	14232	13593.8	1723.8	0.872	34
Pre-Lockdown	7926.4	14226.8	11062.5	6300.4	0.22	26
Lockdown	8247.4	14226.8	10968.8	5979.4	0.924	105
Pre-Lockdown	7528.3	14220.2	11230.5	6691.9	1.456	776
Pre-Lockdown	5855.4	14220.2	7324.2	8364.8	0.769	278
Lockdown	9669.3	14215.1	11437.5	4545.7	0.261	17
Pre-Lockdown	5427.4	14214.5	8300.8	8787.1	0.638	276
Lockdown	3719.4	14212.1	9187.5	10492.7	0.75	49
Lockdown	6750	14208.3	8812.5	7458.3	1.417	34
Pre-Lockdown	6026.5	14205.2	9207.6	8178.7	0.763	126
Pre-Lockdown	5806.5	14193.7	9765.6	8387.2	0.298	149
Lockdown	3707.6	14192.7	9750	10485	0.828	49
Pre-Lockdown	7092.2	14184.4	10500	7092.2	0.414	145
Lockdown	6233.8	14181.8	7031.2	7948.1	0.86	37
Pre-Lockdown	4691.9	14175.4	10125	9483.5	1.38	245
Lockdown	8666.7	14166.7	10875	5500	0.889	98
Lockdown	7281.4	14155.9	11156.2	6874.6	0.505	12
Lockdown	5654.2	14155.9	7875	8501.7	1.349	91
Pre-Lockdown	10576.8	14152.1	11132.8	3575.3	0.749	225
Lockdown	9242.5	14149	9375	4906.5	1.097	68
Lockdown	6762.4	14143.6	7781.2	7381.2	0.576	18
Lockdown	4575.5	14115.1	10406.2	9539.6	1.074	71
Lockdown	4225.9	14113	11062.5	9887	1.611	147
Pre-Lockdown	8290.9	14109.1	9562.5	5818.2	0.286	2
Lockdown	4909.1	14103.9	7593.8	9194.8	1.022	58
Lockdown	6077.9	14103.9	7125	8026	1.812	81
Pre-Lockdown	9470.2	14100	10253.9	4629.9	1.064	393
Pre-Lockdown	8994.4	14085.6	13875	5091.2	1.395	354
Pre-Lockdown	7365.7	14081.5	13671.9	6715.8	1.015	494
Lockdown	4291.4	14066.2	10218.8	9774.8	1.285	108
Lockdown	6740.3	14064.9	7406.2	7324.7	1.501	37
Pre-Lockdown	5090.9	14060.6	11250	8969.7	0.787	187
Pre-Lockdown	5575.8	14060.6	8250	8484.8	1.283	530
Lockdown	5824.2	14058.5	7031.2	8234.2	1.245	96
Lockdown	6143.6	14055.2	9750	7911.6	0.749	39
Pre-Lockdown	4111.2	14054.5	7781.2	9943.3	1.663	131
Lockdown	6914.6	14048.8	9937.5	7134.1	0.25	13
Pre-Lockdown	3740.1	14025.3	6000	10285.2	0.703	199
Pre-Lockdown	4231.7	14025.2	6000	9793.5	2.108	291
Pre-Lockdown	3832.1	14014.4	8625	10182.3	0.81	61
Lockdown	6983.4	14011	10125	7027.6	0.854	37
Lockdown	6411.9	14008.6	10593.8	7596.7	1.331	65
Lockdown	6916.7	14000	10875	7083.3	0.644	68
Pre-Lockdown	4665.7	13997	13671.9	9331.3	1.801	846
Lockdown	9284.1	13983.9	11625	4699.8	0.19	5
Pre-Lockdown	6079	13981.7	13875	7902.7	0.507	147
Lockdown	5167.5	13971.3	5906.2	8803.8	0.584	32
Pre-Lockdown	4162.3	13956.1	11230.5	9793.8	1.229	631
Pre-Lockdown	2537.5	13956.1	6347.7	11418.6	2.405	992
Lockdown	3388.7	13953.5	11156.2	10564.8	4.259	233
Lockdown	4458.4	13950.4	7781.2	9492	0.543	36
Lockdown	4441.6	13948.1	7406.2	9506.5	2.491	97
Lockdown	6796.1	13941.7	11531.2	7145.6	0.628	38
Lockdown	8893.2	13941.7	11156.2	5048.5	0.781	41
Lockdown	9320.4	13941.7	10687.5	4621.4	0.746	34
Pre-Lockdown	5018.9	13941.4	13671.9	8922.5	0.838	459
Pre-Lockdown	6004.6	13930.8	12207	7926.2	2.986	1366
Pre-Lockdown	4133.9	13924.6	6937.5	9790.7	0.495	109
Lockdown	5828.3	13919.3	8156.2	8091	1.112	60
Pre-Lockdown	8145.9	13915.9	11625	5770	0.839	250
Lockdown	3309	13913.6	13312.5	10604.7	3.669	151
Lockdown	4903.7	13913.6	10500	9010	1.454	44
Pre-Lockdown	11130.4	13913	13875	2782.6	0.312	126
Pre-Lockdown	7769.7	13903.6	7875	6133.9	0.327	76
Pre-Lockdown	5922.9	13896.1	13671.9	7973.2	0.804	435
Pre-Lockdown	3872.7	13896.1	7812.5	10023.4	1.652	749
Pre-Lockdown	5555.6	13888.9	11718.8	8333.3	0.207	108
Lockdown	4214.4	13885.4	12375	9671	1.585	67
Pre-Lockdown	5113.6	13879.9	7910.2	8766.2	0.877	244
Lockdown	6276.2	13878.5	10312.5	7602.2	0.772	49
Lockdown	3428.6	13873.8	11343.8	10445.2	1.023	66
Pre-Lockdown	4615.6	13846.7	9277.3	9231.2	1.834	766
Pre-Lockdown	3653.8	13846.2	6835.9	10192.3	0.764	365
Pre-Lockdown	3927.1	13838.3	10875	9911.2	1.068	146
Lockdown	6500	13833.3	10968.8	7333.3	1.417	53
Lockdown	8706.3	13829.9	11531.2	5123.6	0.245	18
Lockdown	5253.6	13825.3	10500	8571.7	1.536	155
Pre-Lockdown	6379.9	13823.1	9082	7443.2	0.092	15
Pre-Lockdown	7723.1	13820.3	11437.5	6097.2	0.21	24
Pre-Lockdown	8129.6	13820.3	11250	5690.7	0.215	28
Pre-Lockdown	7757.6	13818.2	9375	6060.6	0.185	2
Lockdown	4401.9	13818.2	7781.2	9416.3	0.527	26
Lockdown	7946.8	13817	11625	5870.2	0.328	7
Pre-Lockdown	3947.4	13815.8	7910.2	9868.4	1.513	478
Pre-Lockdown	6677.4	13810.2	12765	7132.8	1.55	211
Pre-Lockdown	4097.5	13810.2	6696.4	9712.7	0.676	117
Pre-Lockdown	1917.2	13803.7	8789.1	11886.5	1.295	679
Pre-Lockdown	6713.6	13800.2	7500	7086.6	1.63	157
Lockdown	12266.2	13799.5	13125	1533.3	0.552	44
Lockdown	3637.7	13796.7	12093.8	10159	1.232	111
Lockdown	6343.8	13796.7	6375	7452.9	1.474	126
Lockdown	6099.4	13790.1	7687.5	7690.6	0.782	28
Lockdown	3945.8	13789.8	7031.2	9844.1	0.661	67
Pre-Lockdown	8097.6	13783.2	8250	5685.6	0.673	218
Pre-Lockdown	6534.1	13781	9277.3	7246.9	0.293	137
Pre-Lockdown	3789.5	13754.4	6187.5	9964.9	2.129	404
Lockdown	3867.1	13754.2	5531.2	9887	0.324	11
Pre-Lockdown	12685.1	13745.9	13359.4	1060.8	0.26	3
Lockdown	4419.9	13745.9	9937.5	9326	0.9	60
Pre-Lockdown	3628.8	13737.8	9277.3	10108.9	1.011	277
Lockdown	3164	13736.3	7031.2	10572.3	1.307	59
Pre-Lockdown	6088.5	13734.5	9187.5	7646	1.147	191
Lockdown	4041.2	13732	10406.2	9690.7	1.043	118
Pre-Lockdown	4085.5	13723.1	7218.8	9637.6	0.925	50
Lockdown	5532.5	13714.3	7218.8	8181.8	1.123	10
Lockdown	5493.5	13714.3	6656.2	8220.8	1.79	77
Lockdown	3770.8	13707.9	12375	9937.2	1.461	101
Lockdown	5480.7	13701.7	9281.2	8221	0.96	48
Lockdown	4409.7	13696.7	9093.8	9287	1.006	30
Pre-Lockdown	4083.2	13690.6	7812.5	9607.4	0.129	57
Pre-Lockdown	4150.8	13673.3	12207	9522.5	1.227	444
Pre-Lockdown	7325	13673.3	13671.9	6348.3	0.566	276
Pre-Lockdown	7127.3	13672.7	8625	6545.4	0.407	68
Lockdown	5373.4	13671.7	7125	8298.2	1.189	97
Lockdown	6214.3	13671.4	9093.8	7457.1	0.192	9
Lockdown	3815.2	13663.6	4406.2	9848.4	0.933	101
Lockdown	7027.6	13657.5	9937.5	6629.8	0.748	34
Pre-Lockdown	4699.1	13649.8	7812.5	8950.7	0.6	336
Pre-Lockdown	5411.8	13647.1	5625	8235.3	1.361	390
Pre-Lockdown	2352.9	13647.1	9750	11294.1	1.908	461
Pre-Lockdown	5531	13643.1	8300.8	8112.1	0.95	448
Lockdown	6388.5	13640.3	8812.5	7251.8	0.931	50
Lockdown	9053	13637.2	11343.8	4584.3	0.185	3
Lockdown	8893.2	13631.1	11250	4737.9	0.727	54
Lockdown	4388.3	13631.1	6000	9242.7	1.319	92
Lockdown	5979.7	13627.1	9000	7647.5	1.302	87
Lockdown	7672	13625.6	10406.2	5953.5	0.4	24
Pre-Lockdown	2003.2	13621.8	11718.8	11618.6	1.937	843
Lockdown	4147.6	13617.9	9937.5	9470.3	1.006	84
Lockdown	5743.3	13616.5	8812.5	7873.2	0.764	50
Pre-Lockdown	3789.5	13614	8062.5	9824.5	0.849	124
Pre-Lockdown	5665.9	13598.2	8789.1	7932.3	0.717	807
Lockdown	6657.8	13594.7	7500	6936.9	0.522	34
Pre-Lockdown	2364.1	13593.4	7812.5	11229.3	1.254	710
Lockdown	7281.6	13583.7	7500	6302	1.087	92
Pre-Lockdown	5575.8	13575.8	12375	8000	1.225	351
Pre-Lockdown	3636.4	13575.8	10500	9939.4	1.37	542
Lockdown	6762.4	13569.1	7968.8	6806.6	0.623	32
Lockdown	5766.2	13558.4	8812.5	7792.2	1.641	30
Lockdown	4265.8	13554.8	6187.5	9289	1.361	60
Pre-Lockdown	4663.7	13547	7812.5	8883.3	0.1	27
Pre-Lockdown	3829.8	13531.9	5250	9702.1	1.4	513
Pre-Lockdown	3319.1	13531.9	5250	10212.8	1.401	470
Lockdown	8821.8	13521.7	10125	4699.8	0.19	12
Lockdown	8653.1	13518.4	12000	4865.3	0.155	0
Lockdown	8705.5	13497.5	11343.8	4792	0.271	5
Lockdown	5988.9	13486.1	9187.5	7497.2	0.56	45
Lockdown	6033.3	13486.1	12656.2	7452.9	0.812	56
Pre-Lockdown	4924.9	13478.6	7324.2	8553.7	1.418	583
Lockdown	10798	13477.8	12562.5	2679.8	0.244	6
Lockdown	3428.6	13475.1	7875	10046.5	1.825	116
Lockdown	8105.3	13473.7	9750	5368.4	0.852	33
Pre-Lockdown	8081.6	13469.4	8250	5387.8	0.427	146
Lockdown	11144.2	13464.3	12750	2320.1	1.025	74
Lockdown	4347.5	13441.8	9562.5	9094.3	1.151	65
Pre-Lockdown	6818.2	13441.6	8789.1	6623.4	0.766	222
Pre-Lockdown	11668.5	13436.5	12656.2	1768	1.328	44
Pre-Lockdown	4475.4	13426.1	7324.2	8950.7	1.088	541
Lockdown	8665.6	13417.6	9843.8	4752.1	0.311	9
Pre-Lockdown	8145.9	13406.7	9375	5260.9	1.683	191
Lockdown	6581.3	13399	6843.8	6817.7	0.994	89
Lockdown	9256.1	13390.2	12187.5	4134.1	0.229	11
Pre-Lockdown	6692.6	13385.2	10875	6692.6	1.073	301
Lockdown	3640.2	13375.7	7593.8	9735.4	1.118	115
Lockdown	6333.3	13375	9093.8	7041.7	1.866	105
Pre-Lockdown	4660.6	13373.8	11250	8713.2	0.797	194
Lockdown	2935.3	13338.1	7968.8	10402.9	1.057	47
Pre-Lockdown	6753.6	13334	7500	6580.4	0.956	360
Pre-Lockdown	6407.3	13334	10125	6926.8	0.749	251
Pre-Lockdown	5894.7	13333.3	10687.5	7438.6	0.48	19
Lockdown	9053	13329.1	9375	4276.1	0.194	12
Lockdown	3069.8	13315.6	4968.8	10245.8	0.579	37
Lockdown	2706.1	13308.7	12375	10602.6	1.23	133
Pre-Lockdown	5023.6	13297.9	10253.9	8274.3	0.39	189
Pre-Lockdown	2658.6	13292.9	9750	10634.3	0.524	203
Lockdown	6583.3	13291.7	9187.5	6708.3	1.057	45
Lockdown	7207.8	13285.7	8718.8	6077.9	1.266	12
Lockdown	9064	13280.8	11906.2	4216.7	0.222	4
Lockdown	6603.6	13278.2	6750	6674.6	0.487	30
Lockdown	1116.3	13275.7	10593.8	12159.5	2.495	82
Lockdown	6912.7	13272.3	7031.2	6359.6	1.748	89
Lockdown	7347.8	13257.9	10125	5910.1	0.332	12
Lockdown	6014.9	13257.3	13125	7242.4	1.739	172
Lockdown	9515.2	13252	11531.2	3736.8	0.15	3
Lockdown	9130	13252	10312.5	4122	0.166	8
Lockdown	4714.3	13242.9	10031.2	8528.6	0.626	42
Pre-Lockdown	8392	13240.8	10312.5	4848.7	0.207	36
Pre-Lockdown	4751.5	13236.4	6468.8	8484.8	2.52	67
Pre-Lockdown	6121.1	13221.5	10742.2	7100.4	1.61	424
