Year	LowFreq_Hz	HighFreq_Hz	PeakFreq_Hz	DeltaFreq_Hz	DeltaTime_s	PFC_Num_Inf_Pts
Pre-Lockdown	5142.9	19591.8	15375	14449	0.759	309
Lockdown	6755.2	19552.4	9468.8	12797.2	1.031	74
Lockdown	5572.9	19525.4	8156.2	13952.5	1.042	76
Lockdown	13090.9	19510.5	16406.2	6419.6	0.755	58
Lockdown	8100	19500	10125	11400	2.592	168
Pre-Lockdown	7061.7	19480.5	9375	12418.8	0.748	212
Pre-Lockdown	7278.5	19462	12207	12183.5	0.267	120
Lockdown	4671.4	19457.1	10875	14785.7	0.202	10
Pre-Lockdown	3840	19456	8250	15616	1.266	436
Pre-Lockdown	5067.6	19425.7	14648.4	14358.1	0.769	330
Pre-Lockdown	3832.1	19379.3	10312.5	15547.2	2.82	241
Pre-Lockdown	4708	19379.3	10500	14671.3	5.162	316
Lockdown	9062.9	19342.7	12187.5	10279.7	0.828	67
Pre-Lockdown	10306	19323.8	13183.6	9017.8	0.804	183
Pre-Lockdown	6300.4	19307.8	9375	13007.4	1.283	265
Pre-Lockdown	6910.2	19307.8	12750	12397.6	1.054	167
Lockdown	4447.6	19300.7	8906.2	14853.1	0.835	55
Lockdown	6804.1	19299	11156.2	12494.8	0.961	51
Lockdown	5990.1	19270.9	10218.8	13280.8	0.875	79
Lockdown	11874.1	19258.7	15187.5	7384.6	0.736	63
Pre-Lockdown	3524.7	19250.2	12695.3	15725.5	1.715	573
Lockdown	8123.7	19216.5	9937.5	11092.8	0.78	70
Pre-Lockdown	4432.6	19208	8789.1	14775.4	1.412	825
Pre-Lockdown	3406.5	19200	6000	15793.5	1.321	127
Lockdown	7010.3	19175.3	8531.2	12164.9	0.997	67
Lockdown	10153.8	19174.8	13968.8	9021	0.835	42
Lockdown	5421.9	19136.2	16593.8	13714.3	1.238	129
Lockdown	12545.5	19132.9	17343.8	6587.4	0.828	84
Lockdown	6514.9	19124.3	6562.5	12609.5	1.216	134
Pre-Lockdown	2235.6	19104.6	9937.5	16869	1.076	106
Pre-Lockdown	2032.4	19104.6	10546.9	17072.2	0.904	128
Pre-Lockdown	5078.1	19103.3	9000	14025.2	2.656	348
Lockdown	13274.2	19093.5	13875	5819.3	0.74	39
Pre-Lockdown	5538.5	19076.9	15187.5	13538.4	1.256	279
Pre-Lockdown	4028.4	19075.8	16113.3	15047.4	0.251	88
Pre-Lockdown	4051	19050.8	10687.5	14999.8	3.035	314
Lockdown	7335.5	19016.6	9281.2	11681.1	1.634	147
Pre-Lockdown	2813.4	18990.5	5440.8	16177.1	1.083	213
Pre-Lockdown	3869	18982.4	7687.5	15113.4	1.068	103
Lockdown	6737.5	18976.7	13500	12239.2	1.625	195
Pre-Lockdown	6381.4	18956.5	12207	12575.1	0.205	69
Lockdown	3917.5	18927.8	5531.2	15010.3	0.799	16
Pre-Lockdown	11393.9	18909.1	12000	7515.2	1.794	739
Lockdown	6179.4	18897	10031.2	12717.6	1.325	59
Lockdown	5694.9	18874.6	6656.2	13179.7	0.981	87
Pre-Lockdown	6209	18865.7	8625	12656.7	0.983	355
Pre-Lockdown	4537.3	18865.7	18750	14328.4	0.895	293
Pre-Lockdown	8210.1	18860.9	18164.1	10650.9	0.361	80
Lockdown	5302.3	18857.1	6281.2	13554.8	1.057	44
